id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP000558,1,558,9398.73,0.9399
EP000559,1,559,950.63,0.0951
EP000560,1,560,9076.16,0.9076
EP000561,1,561,864.43,0.0864
EP000562,1,562,18853.05,1.8853
EP000563,1,563,6351.41,0.6351
EP000564,1,564,1872.82,0.1873
EP000565,1,565,5108.27,0.5108
EP000566,1,566,34722.18,3.4722
EP000567,1,567,491.27,0.0491
EP000568,1,568,5464.7,0.5465
EP000569,1,569,11867.6,1.1868
EP000570,1,570,3835.48,0.3835
EP000571,1,571,1185.58,0.1186
EP000572,1,572,7661.73,0.7662
EP000573,1,573,12372.17,1.2372
EP000574,1,574,178.87,0.0179
EP000575,1,575,3670.27,0.367
EP000576,1,576,124.11,0.0124
EP000577,1,577,8083.51,0.8084
EP000578,1,578,20372.18,2.0372
EP000579,1,579,3660.37,0.366
EP000580,1,580,1705.58,0.1706
EP000581,1,581,12764.91,1.2765
EP000582,1,582,547.21,0.0547
EP000583,1,583,175.83,0.0176
EP000584,1,584,369981.2,36.9981
EP000585,1,585,3511.3,0.3511
EP000586,1,586,150.48,0.015
EP000587,1,587,35059.4,3.5059
EP000588,1,588,2150.21,0.215
EP000589,1,589,683.59,0.0684
EP000590,1,590,45173.09,4.5173
EP000591,1,591,818.73,0.0819
EP000592,1,592,1313.21,0.1313
EP000593,1,593,356.45,0.0356
EP000594,1,594,33103.09,3.3103
EP000595,1,595,3440.91,0.3441
EP000596,1,596,62126.38,6.2126
EP000597,1,597,480.22,0.048
EP000598,1,598,19.64,0.002
EP000599,1,599,248.43,0.0248
EP000600,1,600,1272.25,0.1272
EP000601,1,601,68.54,0.0069
EP000602,1,602,13166.21,1.3166
EP000603,1,603,6128.04,0.6128
EP000604,1,604,11974.76,1.1975
EP000605,1,605,2538.95,0.2539
EP000606,1,606,3697.41,0.3697
EP000607,1,607,87047.76,8.7048
EP000608,1,608,1033.62,0.1034
EP000609,1,609,234.52,0.0235
EP000610,1,610,8014.1,0.8014
EP000611,1,611,780.98,0.0781
EP000612,1,612,1063.12,0.1063
EP000613,1,613,1067.34,0.1067
EP000614,1,614,181.97,0.0182
EP000615,1,615,407467.45,40.7467
EP000616,1,616,2041.96,0.2042
EP000617,1,617,269387.2,26.9387
EP000618,1,618,9245.05,0.9245
EP000619,1,619,8699.12,0.8699
EP000620,1,620,1778.98,0.1779
EP000621,1,621,3399.76,0.34
EP000622,1,622,1893.52,0.1894
EP000623,1,623,54227.56,5.4228
EP000624,1,624,4417.48,0.4417
EP000625,1,625,346.17,0.0346
EP000626,1,626,4828.22,0.4828
EP000627,1,627,213.22,0.0213
EP000628,1,628,793.65,0.0794
EP000629,1,629,358.89,0.0359
EP000630,1,630,8.29,0.0008
EP000631,1,631,32.92,0.0033
EP000632,1,632,283.69,0.0284
EP000633,1,633,200.7,0.0201
EP000634,1,634,11765.12,1.1765
EP000635,1,635,28.13,0.0028
EP000636,1,636,5639.95,0.564
EP000637,1,637,24.79,0.0025
EP000638,1,638,31.86,0.0032
EP000639,1,639,12369.2,1.2369
EP000640,1,640,204.94,0.0205
EP000641,1,641,49141.11,4.9141
EP000642,1,642,307.39,0.0307
EP000643,1,643,142.02,0.0142
EP000644,1,644,5422.95,0.5423
EP000645,1,645,535.45,0.0535
EP000646,1,646,86.97,0.0087
EP000647,1,647,189.71,0.019
EP000648,1,648,66.11,0.0066
