CLAVE_ID,NOMBRE_PILARES*,ESTATUS,REGION,ALCALDIA,LATITUD,LONGITUD
097_NT_GAM,NUEVA ATZACOALCO,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.50065895,-99.08465324
098_SP_TLP,LA JOYA,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.27844113,-99.16756172
099_CO_CUH,SAN FRANCISCO TULTENCO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.41092928,-99.12876031
100_IZ_IZP,CONSTITUCIÓN DE 1917,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.34433503,-99.06111099
101_SP_COY,LA ESCUELITA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.3259986,-99.16486341
102_NT_AZC,PRO HOGAR,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.474867,-99.149764
103_NT_GAM,BENEMÉRITO DE LAS AMÉRICAS,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.53501389,-99.1384494
104_PT_AOB,BARRIO NORTE,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.37832706,-99.20617714
105_PT_AOB,OLIVAR DEL CONDE,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.373912,-99.20479
106_SP_COY,TOPILZIN,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.32259054,-99.15816094
107_NT_GAM,MAGDALENA DE LAS SALINAS,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.47906004,-99.14622239
108_PT_AOB,CHAMONTOYA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.31798346,-99.26820951
109_PT_CUM,ZENTLAPATL,01. EN OPERACIÓN,PONIENTE,CUAJIMALPA DE MORELOS,19.35533857,-99.30946374
110_SU_TLH,TLALTENCO,01. EN OPERACIÓN,SUR,TLAHUAC,19.291073,-99.0093
111_NT_GAM,PUERTO MAZATLÁN,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.521406,-99.141952
112_IZ_IZP,TEPALCATES,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.3929098,-99.05549973
113_NT_GAM,LA MUELA,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.532732,-99.143981
114_IZ_IZP,CASA DEL PUEBLO,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.36404186,-99.00200511
115_IZ_IZP,BAMBÚ,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.340415,-99.005283
116_NT_GAM,VIVERO,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.5621129,-99.1282979
117_CO_CUH,PERÚ 88,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.4398619,-99.1342918
118_CO_CUH,TEPITO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.444194,-99.1305
119_PT_AOB,LAS ÁGUILAS,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.36205534,-99.2056855
120_CO_BEJ,PORTALES,01. EN OPERACIÓN,CENTRO ORIENTE,BENITO JUAREZ,19.364258,-99.142814
121_PT_AOB,"GOMEZ FARÍAS, SANTA FE",01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.380313,-99.249652
122_CO_IZT,IZTACCÍHUATL,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.38625395,-99.13045924
123_CO_VCA,CANDELARIA,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.4322,-99.119937
124_IZ_IZP,CARLOTA BOTEY,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.34102704,-99.06631253
125_CO_IZT,COYUYA,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.39834617,-99.1140067
126_SU_TLH,IXTAYOPAN,01. EN OPERACIÓN,SUR,TLAHUAC,19.24413665,-98.99431945
127_PT_AOB,RIO SAN BORJA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.37556944,-99.21685258
128_CO_BEJ,8 DE AGOSTO,01. EN OPERACIÓN,CENTRO ORIENTE,BENITO JUAREZ,19.39484488,-99.18794345
129_SP_COY,FRANCISCO J. MUJICA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.325191,-99.1055611
130_PT_AOB,LA CONCHITA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.39262513,-99.20713928
131_CO_CUH,MONTERREY 206,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.41280546,-99.16279296
132_CO_CUH,PARQUE ABASOLO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.449198,-99.147051
133_CO_CUH,NEZAHUALCÓYOTL,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.4255828,-99.14095989
134_NT_GAM,ALI CHUMACERO,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.51220899,-99.13986173
135_NT_GAM,VASCO DE QUIROGA,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.49584449,-99.09072108
136_NT_GAM,SAN FELIPE DE JESÚS,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.500881,-99.074265
137_CO_IZT,TEZONTLE,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.38833899,-99.11237619
138_IZ_IZP,EL MOLINO TEZONCO,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.29475562,-99.07146978
139_IZ_IZP,IXTLAHUACÁN,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.342366,-98.996336
140_IZ_IZP,REPÚBLICA FEDERAL,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.37121562,-99.01633286
141_IZ_IZP,TIERRA Y LIBERTAD,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.338526,-98.978817
142_IZ_IZP,VALLE DE LUCES,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.338014,-99.098174
143_PT_MIH,TLACOPAN,01. EN OPERACIÓN,PONIENTE,MIGUEL HIDALGO,19.46006316,-99.18981943
144_SU_TLH,ANA BOLENA,01. EN OPERACIÓN,SUR,TLAHUAC,19.29239006,-99.05466719
145_SU_TLH,COCODRILO ,01. EN OPERACIÓN,SUR,TLAHUAC,19.3018661,-99.05961735
146_SU_TLH,NOPALERA,01. EN OPERACIÓN,SUR,TLAHUAC,19.29645901,-99.05479049
147_SP_TLP,BELVEDERE,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.26736663,-99.22686186
148_SP_TLP,BOSQUES,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.27131237,-99.23764743
