tipo_cultural,adscripcion,registros,tipo_gestion,criterio_clasificacion,revision_manual,motivo_revision,fuente_revision,nota_revision
CENTRO_CULTURAL,Fundación para las Letras Mexicanas ,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Gimnasio de Arte y Cultura A.C.,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Gobierno de la Ciudad de México,179,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Gobierno de la Ciudad de México/Alcaldía Tlalpan/Grupo Tequio, A.C.",1,MIXTO,MIXTO_CONFIRMADO,NO,,,
CENTRO_CULTURAL,Gobierno de la Ciudad de México/Secretaría de Obras y Servicios de la Ciudad de México/SEBIEN,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Gobierno del Estado de México,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Gobierno del Estado de Tabasco,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Gobierno dela Ciudad de México,1,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,"Grupo Sanborns, S.A. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,IMSS,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,IPN/Difusión y Fomento a la Cultura,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,ISSSTE,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Independiente,1,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
CENTRO_CULTURAL,"Instituto Cultural México Israel, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Instituto Francés de América Latina,1,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Instituto Nacional de las Personas Adultas Mayores,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Instituto Yunus Emre en México,1,PUBLICO,REVISION_EXTERNA,NO,,Yunus Emre Institute / e-Devlet Türkiye,Institución de diplomacia cultural de Turquía; su fundación fue establecida mediante la Ley 5653.
CENTRO_CULTURAL,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado (ISSSTE),6,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Librería Miguel Ángel Porrúa, S.A. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Ministerio de Asuntos Exteriores y de Cooperación Internacional,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,ONG,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Particular,1,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
CENTRO_CULTURAL,"Patronato de la Casa de Cultura de Tamaulipas, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Pendular. Espacio Cultural,1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,"Polyforum Siqueiros, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Privado,4,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
CENTRO_CULTURAL,SCHP/Dirección General de la Conservaduría de Palacio Nacional y Patrimonio Cultural,1,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,SIN ADSCRIPCION,34,NO_DETERMINADO,SIN_ADSCRIPCION,SI,No existe adscripción disponible para determinar el tipo de gestión.,,
CENTRO_CULTURAL,Secretaría de Cultura,5,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura Federal/Dirección General de Vinculación Cultural Comunitaria,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura de la Ciudad de México,113,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura de la Ciudad de México/Coordinación Interinstitucional,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura de la Ciudad de México/Dirección General de Vinculación Cultural Comunitaria,4,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura de la Ciudad de México/Dirección General de Vinculación Cultural Comunitaria/Red de Faros,7,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura de la Ciudad de México/Subdirección de Red de Faros/Coordinación de Cultura Comunitaria,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura del Gobierno de México / Secretaría de Medio Ambiente (SEDEMA) ,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Secretaría de Cultura, Dirección General de Vinculación Cultural",1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Secretaría de Cultura/Educal, S.A. de C.V.",1,MIXTO,MIXTO_CONFIRMADO,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura/INAH,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura/INBA,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Cultura/INBAL,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Secretaría de Desarrollo Social/Instituto Nacional de las Personas Adultas Mayores,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Senado de la República,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Servicio Postal Mexicano ,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Sistema de Desarrollo Integral de la Familia (DIF) de la Ciudad de México,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Sociedad de Autores y Compositores de México (SACM),1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Síndicato Nacional de Trabajadores del Seguro Social,1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,"Tauro Flamenco, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"UACM, Secretaría de Cultura de la Ciudad de México",1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,UAM/Coordinación General de Difusión,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,UNAM,5,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"UNAM/Coordinación de Difusión Cultural, Alcaldía Cuauhtémoc",1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,UNAM/Facultad de Ingeniería,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,UUM/Coordinación General de Difusión,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Universidad Autónoma Metropolitana,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Universidad Autónoma de la Ciudad de México,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Universidad La Salle,1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Universidad Nacional Autónoma de México,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Ágora Cultural Pedregal, S.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Autocinema Coyote SA de CV,2,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,"Cadena Mexicana de Exhibición, S.A. de C.V.",50,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Centro de Cultura Digital de la Secretaría de Cultura,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CINE,Chante de todos,1,NO_DETERMINADO,SIN_EVIDENCIA_SUFICIENTE,SI,La adscripción no contiene información suficiente para clasificarla automáticamente como pública o privada.,,
CINE,"Cinemagic, S.A. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,"Cinemanía, S. A. de C. V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Cinestar Corporation S.A. de C.V.,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,"Cinépolis de México, S.A. de C.V.",49,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Drive Cinema S.A. de C.V.,5,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Gobierno de la Ciudad de México / Alcaldía de Tlalpan,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CINE,Independiente,6,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
CINE,Instituto Mexicano del Seguro Social (IMSS),1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CINE,"Interbakers, S.A. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,Operadora de AP CineMall S.A. de C.V.,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CINE,SIN ADSCRIPCION,3,NO_DETERMINADO,SIN_ADSCRIPCION,SI,No existe adscripción disponible para determinar el tipo de gestión.,,
CINE,Secretaría de Cultura,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CINE,"Xtra Cinemas, S.A. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Alcaldía  Benito Juárez/Coordinación de Cultura/Subdirección de Derechos Culturales Recreativos y Educativos,2,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Benito Juárez,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Coyoacán/Casa de la Cultura Ricardo Flores Magón,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Cuajimalpa de Morelos/Subdirección de Derechos Culturales,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Cuauhtémoc/Centro Social y Deportivo Club Antonio Caso,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Gustavo A. Madero/Subdirección de Promoción y Difusión Cultural,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Alcaldía Iztapalapa/Dirección Ejecutiva de Cultura,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,"Alcaldía Álvaro Obregón/Dirección General de Cultura, Educación y Deporte/Coordinación de Fomento Cultural y Educación",1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,"Arte El Milagro, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Asociación Civil,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Asociación Nacional de Actores (ANDA),2,PRIVADO,REVISION_MANUAL,NO,,,
TEATRO,Cafebrería el Péndulo S.A. de C.V. ,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Casa de Cultura Raúl Anguiano,1,PUBLICO,REVISION_EXTERNA,NO,,Alcaldía Coyoacán / SIC,Recinto cultural registrado por la Alcaldía Coyoacán.
TEATRO,"Centro  Social Veracruzano, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,"Centro Cultural Foro Shakespeare, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Centro Cultural Juan Ruiz de Alarcón/Alcaldía Cuauhtémoc,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Centro Cultural Roldán Sandoval S.C.,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Centro Cultural Sylvia Pasquel,3,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
TEATRO,"Centro Deportivo Chapultepec, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,"Centro Libanés, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,"Centro Mexicano de Estudios Culturales y Sociales, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,"Centro de Arte Dramático, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,"Centro de Arte y Cultura Circo Volador, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Centro de Capacitación y Oficinas de Desarrollo Social/Secretaría de Cultural del D.F. ,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Clandestino Club. Destino Entertainment,1,PRIVADO,CLASIFICACION_EXPLICITA,NO,,,
TEATRO,Colegio de Literatura Dramática y Teatro/UNAM,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
TEATRO,Compañía Los Endebles A.C.,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
TEATRO,Compañía Perro Teatro,1,PRIVADO,REVISION_MANUAL,NO,,,
