llavemod,llaveviv,llavehog,activ_prod_con_cp,activ_prod_sin_cp,activ_merc,trab_merc_pv,tras_trab,bus_trab,prod_bien_trab_auto,trab_no_rem_vol,trab_no_rem_hog,prep_serv_alim,limp_viv,limp_rop,mant_viv,compras_hog,pagos_tram_hog,org_sup_hog,trab_no_rem_con_cp,trab_no_rem_cuid_hog,cuid_esp_int_hog_con_cp,cuid_esp_int_hog_sin_cp,cuid_int_0a5_con_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_con_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_con_cp,cuid_int_60mas_sin_cp,trab_no_rem_otros_hog,apoy_hog_fam,trab_dom_otros_hog_fam,cuid_esp_disc_enf,cuid_per_otros_hog,trab_no_rem_no_fam,prod_bien_hog_rural,prep_serv_alim_rural,activ_cuid_per,activ_estud,activ_conviv,edad,sexo,niv,gra,cvegeo_x,cve_ent_x,tloc_x,menor10,escolaridad,cond_ind,cond_disc,cond_aee,est_dis_x,upm_dis_x,fac_per,control,viv_sel,hogar,n_ren,cve_ent_y,cvegeo_y,tloc_y,est_dis_y,upm_dis_y,fac_viv
90306105101.0,90306105,903061051,22.66666666666666,22.66666666666666,0.0,0.0,0.0,0.0,0.0,22.66666666666666,22.66666666666666,9.5,11.25,1.5,0.0,0.0,0.0,0.41666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,64.33333333333333,80,2,2,6,9,9,1,2,2.0,2,2,5,74,1178,5332,903061,5,1,1,9,9,1,74,1178,5198
90327901101.0,90327901,903279011,42.16666666666666,42.16666666666666,0.0,0.0,0.0,0.0,2.0,40.16666666666666,39.16666666666666,12.66666666666666,22.16666666666666,4.0,0.0,0.0,0.0,0.33333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,3.0,75,2,2,4,9,9,1,2,2.0,2,2,3,76,1179,4026,903279,1,1,1,9,9,1,76,1179,3999
90327901102.0,90327901,903279011,20.25,20.25,0.0,0.0,0.0,0.0,0.0,20.25,14.75,9.0,3.0,2.0,0.0,0.0,0.5,0.25,5.5,5.5,0.0,0.0,0.0,0.0,3.5,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,0.0,14.16666666666666,40,2,7,3,9,9,1,2,4.0,2,2,5,76,1179,3966,903279,1,1,2,9,9,1,76,1179,3999
90327901103.0,90327901,903279011,71.1,71.1,68.0,56.0,12.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.83333333333333,0.0,15.16666666666666,50,1,6,3,9,9,1,2,3.0,2,2,1,76,1179,4029,903279,1,1,3,9,9,1,76,1179,3999
90327901104.0,90327901,903279011,74.25,74.25,70.0,60.0,10.0,0.0,0.0,4.25,4.25,0.0,3.08333333333333,1.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,6.25,22,1,6,3,9,9,1,2,3.0,2,2,1,76,1179,4082,903279,1,1,4,9,9,1,76,1179,3999
90327901105.0,90327901,903279011,53.36666666666666,45.36666666666666,39.0,36.0,3.0,0.0,0.0,14.36666666666666,5.86666666666666,0.0,3.66666666666666,0.83333333333333,0.0,1.13333333333333,0.0,0.23333333333333,8.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.16666666666666,0.0,27.0,18,1,6,3,9,9,1,2,3.0,2,2,1,76,1179,4050,903279,1,1,5,9,9,1,76,1179,3999
90327901106.0,90327901,903279011,6.11666666666666,6.11666666666666,0.0,0.0,0.0,0.0,0.0,6.11666666666666,5.61666666666666,0.0,4.33333333333333,1.16666666666666,0.0,0.0,0.0,0.11666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,36.5,22.16666666666666,14,1,3,2,9,9,1,2,2.0,2,2,4,76,1179,4039,903279,1,1,6,9,9,1,76,1179,3999
90688401101.0,90688401,906884011,87.13333333333333,87.13333333333333,79.0,72.0,7.0,0.0,0.0,8.13333333333333,4.13333333333333,1.66666666666666,0.0,1.0,0.0,1.0,0.0,0.46666666666666,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,14.0,24,1,3,3,9,9,1,2,2.0,2,2,1,76,1209,4252,906884,1,1,1,9,9,1,76,1209,4165
90688401102.0,90688401,906884011,59.75,59.75,27.0,23.0,4.0,0.0,0.0,32.75,32.75,8.5,17.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,20.5,36,2,2,6,9,9,1,2,2.0,1,2,1,76,1209,4131,906884,1,1,2,9,9,1,76,1209,4165
90688402101.0,90688402,906884021,113.5,113.5,90.0,88.0,2.0,0.0,0.0,23.5,13.0,6.5,5.25,1.0,0.0,0.0,0.0,0.25,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.83333333333333,0.0,20.83333333333333,44,1,2,6,9,9,1,2,2.0,2,2,1,76,1209,4269,906884,2,1,1,9,9,1,76,1209,4165
